Generation,Truncation,Best Random Worst
0,-1,-1
1,4,4
2,6,6
3,8,8
4,8,8
5,10,8
6,10,8
7,16,10
8,16,12
9,16,12
10,16,14
11,16,16
12,16,16
13,28,16
14,28,16
15,28,16
16,28,16
17,28,20
18,28,20
19,28,20
20,32,20
21,32,22
22,32,28
23,32,28
24,32,28
25,32,32
26,32,32
27,32,32
28,32,32
29,32,32
30,32,32
31,34,32
32,34,32
33,34,32
34,34,32
35,34,32
36,34,32
37,34,32
38,34,32
39,34,36
40,34,38
41,34,38
42,34,38
43,34,42
44,34,42
45,34,44
46,34,44
47,34,50
48,34,54
49,34,54
50,34,60
51,34,60
52,34,64
53,34,64
54,34,64
55,34,64
56,34,64
57,34,64
58,34,64
59,34,64
60,34,64
61,36,64
62,42,64
63,42,64
64,48,64
65,50,64
66,58,64
67,60,64
68,64,64
69,64,64
70,64,64
71,64,64
72,64,64
73,64,64
74,64,64
75,64,64
76,64,64
77,64,68
78,64,68
79,64,72
80,64,72
81,64,72
82,64,72
83,64,72
84,64,74
85,64,80
86,64,82
87,64,90
88,64,90
89,64,90
90,70,90
91,70,90
92,70,96
93,70,96
94,70,98
95,70,102
96,70,104
97,70,106
98,70,108
99,70,110
100,70,110
101,70,116
102,70,116
103,70,122
104,70,122
105,70,124
106,70,128
107,70,128
108,70,128
109,70,128
110,70,128
111,70,128
112,70,128
113,70,128
114,70,128
115,70,128
116,70,128
117,70,128
118,70,128
119,70,128
120,72,128
121,74,128
122,80,128
123,82,128
124,86,128
125,92,128
126,96,128
127,98,128
128,108,128
129,108,128
130,112,128
131,114,128
132,120,128
133,128,128
134,128,128
135,128,128
136,128,128
137,128,128
138,128,128
139,128,128
140,128,128
141,128,128
142,128,128
143,128,128
144,128,128
145,128,128
146,128,128
147,128,128
148,128,128
149,128,128
150,128,128
151,128,128
152,128,128
153,128,128
154,128,128
155,128,128
156,128,128
157,128,128
158,128,128
159,128,128
160,128,128
161,128,128
162,128,128
163,128,128
164,128,128
165,128,128
166,128,132
167,128,132
168,128,132
169,128,132
170,128,132
171,128,132
172,128,136
173,128,140
174,128,140
175,128,140
176,128,140
177,128,144
178,128,148
179,128,148
180,128,152
181,128,152
182,128,154
183,128,156
184,128,160
185,128,160
186,128,160
187,128,164
188,128,168
189,128,168
190,128,174
191,128,174
192,128,176
193,128,176
194,128,180
195,128,182
196,128,184
197,128,186
198,128,188
199,128,190
200,128,194
201,128,196
202,128,200
203,128,200
204,128,200
205,128,200
206,128,202
207,128,208
208,128,208
209,128,208
210,128,210
211,128,210
212,128,214
213,130,218
214,134,218
215,134,220
216,134,224
217,134,224
218,134,224
219,134,226
220,134,228
221,134,230
222,134,232
223,134,236
224,134,238
225,134,238
226,134,240
227,134,244
228,134,244
229,134,244
230,134,246
231,134,250
232,134,252
233,134,254
234,134,254
235,134,256
236,134,256
237,134,256
238,134,256
239,134,256
240,134,256
241,134,256
242,134,256
243,134,256
244,134,256
245,134,256
246,134,256
247,134,256
248,134,256
249,134,256
250,134,256
251,134,256
252,134,256
253,134,256
254,134,256
255,134,256
256,134,256
257,134,256
258,134,256
259,134,256
260,134,256
261,134,256
262,134,256
263,134,256
264,134,256
265,134,256
266,134,256
267,134,256
268,134,256
269,134,256
270,134,256
271,134,256
272,134,256
273,134,256
274,134,256
275,134,256
276,134,256
277,134,256
278,134,256
279,134,256
280,134,256
281,134,256
282,134,256
283,138,256
284,144,256
